year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2018,1,1,522,525,-3,724,735,-11,DL,6,N954AT,VPS,ATL,45,250,5,25,2018-01-01T05:00:00Z
2018,1,1,617,610,7,842,852,-10,OH,22,N591NN,VPS,CLT,60,460,6,10,2018-01-01T06:00:00Z
2018,1,1,651,700,-9,903,900,3,EV,21,N15555,VPS,IAH,104,528,7,0,2018-01-01T07:00:00Z
2018,1,1,728,734,-6,949,955,-6,AA,16,N9620D,VPS,DFW,106,641,7,34,2018-01-01T07:00:00Z
2018,1,1,930,730,120,1133,943,110,EV,25,N738EV,VPS,ATL,47,250,7,30,2018-01-01T07:00:00Z
2018,1,1,1125,1125,0,1351,1344,7,EV,28,N751EV,VPS,ATL,41,250,11,25,2018-01-01T11:00:00Z
2018,1,1,1236,1245,-9,1510,1529,-19,OH,24,N248PS,VPS,CLT,68,460,12,45,2018-01-01T12:00:00Z
2018,1,1,1440,1446,-6,1639,1649,-10,EV,20,N16559,VPS,IAH,97,528,14,46,2018-01-01T14:00:00Z
2018,1,1,1533,1538,-5,1746,1755,-9,YV,32,N922FJ,VPS,DFW,105,641,15,38,2018-01-01T15:00:00Z
2018,1,1,1556,1604,-8,1812,1825,-13,DL,10,N954AT,VPS,ATL,46,250,16,4,2018-01-01T16:00:00Z
2018,1,1,1619,1325,174,1825,1543,162,AA,14,N9405T,VPS,DFW,103,641,13,25,2018-01-01T13:00:00Z
2018,1,1,1645,1600,45,1918,1845,33,OH,30,N549NN,VPS,CLT,65,460,16,0,2018-01-01T16:00:00Z
2018,1,1,1740,1715,25,1950,1934,16,MQ,19,N238NN,VPS,DFW,107,641,17,15,2018-01-01T17:00:00Z
2018,1,1,2136,2056,40,2336,2310,26,AA,11,N979TW,VPS,DFW,98,641,20,56,2018-01-01T20:00:00Z
2018,1,2,522,525,-3,722,735,-13,DL,6,N921AT,VPS,ATL,45,250,5,25,2018-01-02T05:00:00Z
2018,1,2,616,610,6,841,852,-11,OH,22,N596NN,VPS,CLT,67,460,6,10,2018-01-02T06:00:00Z
2018,1,2,653,700,-7,901,900,1,EV,21,N13566,VPS,IAH,103,528,7,0,2018-01-02T07:00:00Z
2018,1,2,742,734,8,949,955,-6,AA,16,N964TW,VPS,DFW,104,641,7,34,2018-01-02T07:00:00Z
2018,1,2,930,912,18,1132,1125,7,DL,2,N948AT,VPS,ATL,41,250,9,12,2018-01-02T09:00:00Z
2018,1,2,945,932,13,1152,1150,2,YV,33,N927LR,VPS,DFW,101,641,9,32,2018-01-02T09:00:00Z
2018,1,2,1141,1125,16,1346,1344,2,EV,28,N741EV,VPS,ATL,42,250,11,25,2018-01-02T11:00:00Z
2018,1,2,1240,730,310,1436,943,293,DL,4,N960AT,VPS,ATL,42,250,7,30,2018-01-02T07:00:00Z
2018,1,2,1259,1245,14,1526,1529,-3,OH,24,N215PS,VPS,CLT,67,460,12,45,2018-01-02T12:00:00Z
2018,1,2,1416,1421,-5,1609,1624,-15,EV,20,N18557,VPS,IAH,90,528,14,21,2018-01-02T14:00:00Z
2018,1,2,1418,1424,-6,1600,1617,-17,G4,8,328NV,VPS,BLV,86,587,14,24,2018-01-02T14:00:00Z
2018,1,2,1421,1430,-9,1621,1644,-23,EV,29,N391CA,VPS,ATL,39,250,14,30,2018-01-02T14:00:00Z
2018,1,2,1458,1325,93,1717,1543,94,AA,14,N961TW,VPS,DFW,103,641,13,25,2018-01-02T13:00:00Z
2018,1,2,1611,1600,11,1900,1845,15,OH,30,N600NN,VPS,CLT,67,460,16,0,2018-01-02T16:00:00Z
2018,1,2,1812,1715,57,2027,1934,53,MQ,19,N252NN,VPS,DFW,106,641,17,15,2018-01-02T17:00:00Z
2018,1,2,1841,1807,34,2047,2029,18,EV,26,N755EV,VPS,ATL,42,250,18,7,2018-01-02T18:00:00Z
2018,1,2,1924,1934,-10,2204,2223,-19,G4,7,328NV,VPS,CVG,79,600,19,34,2018-01-02T19:00:00Z
2018,1,2,NA,1538,NA,NA,1755,NA,YV,32,N951LR,VPS,DFW,NA,641,15,38,2018-01-02T15:00:00Z
2018,1,3,601,600,1,800,812,-12,DL,6,N924DL,VPS,ATL,40,250,6,0,2018-01-03T06:00:00Z
2018,1,3,608,610,-2,840,852,-12,OH,22,N575NN,VPS,CLT,66,460,6,10,2018-01-03T06:00:00Z
2018,1,3,700,700,0,845,900,-15,EV,21,N16987,VPS,IAH,89,528,7,0,2018-01-03T07:00:00Z
2018,1,3,724,730,-6,934,942,-8,DL,15,N954AT,VPS,ATL,45,250,7,30,2018-01-03T07:00:00Z
2018,1,3,757,734,23,1013,955,18,AA,16,N967TW,VPS,DFW,105,641,7,34,2018-01-03T07:00:00Z
2018,1,3,1024,1031,-7,1225,1246,-21,DL,12,N994AT,VPS,ATL,41,250,10,31,2018-01-03T10:00:00Z
2018,1,3,1245,1245,0,1540,1529,11,OH,24,N218PS,VPS,CLT,71,460,12,45,2018-01-03T12:00:00Z
2018,1,3,1325,1325,0,1537,1542,-5,DL,1,N970AT,VPS,ATL,48,250,13,25,2018-01-03T13:00:00Z
2018,1,3,1338,1325,13,1556,1543,13,AA,14,N961TW,VPS,DFW,101,641,13,25,2018-01-03T13:00:00Z
2018,1,3,1443,1446,-3,1634,1649,-15,EV,20,N18556,VPS,IAH,90,528,14,46,2018-01-03T14:00:00Z
2018,1,3,1607,1600,7,1845,1845,0,OH,30,N559NN,VPS,CLT,66,460,16,0,2018-01-03T16:00:00Z
2018,1,3,1650,1655,-5,1902,1914,-12,DL,13,N900DE,VPS,ATL,45,250,16,55,2018-01-03T16:00:00Z
2018,1,3,1718,1538,100,1926,1755,91,YV,32,N946LR,VPS,DFW,106,641,15,38,2018-01-03T15:00:00Z
2018,1,3,1744,1715,29,2010,1934,36,MQ,19,N236NN,VPS,DFW,106,641,17,15,2018-01-03T17:00:00Z
2018,1,3,NA,932,NA,NA,1150,NA,YV,33,N919FJ,VPS,DFW,NA,641,9,32,2018-01-03T09:00:00Z
2018,1,4,553,600,-7,806,812,-6,DL,6,N934DL,VPS,ATL,50,250,6,0,2018-01-04T06:00:00Z
2018,1,4,605,610,-5,843,852,-9,OH,22,N574NN,VPS,CLT,69,460,6,10,2018-01-04T06:00:00Z
2018,1,4,658,700,-2,857,900,-3,EV,21,N15555,VPS,IAH,94,528,7,0,2018-01-04T07:00:00Z
2018,1,4,726,730,-4,933,942,-9,DL,15,N977DL,VPS,ATL,45,250,7,30,2018-01-04T07:00:00Z
2018,1,4,731,734,-3,945,955,-10,AA,16,N555AN,VPS,DFW,113,641,7,34,2018-01-04T07:00:00Z
2018,1,4,927,932,-5,1150,1150,0,YV,33,N935LR,VPS,DFW,114,641,9,32,2018-01-04T09:00:00Z
2018,1,4,1027,1031,-4,1228,1246,-18,DL,12,N920AT,VPS,ATL,44,250,10,31,2018-01-04T10:00:00Z
2018,1,4,1310,1245,25,1545,1529,16,OH,24,N250PS,VPS,CLT,69,460,12,45,2018-01-04T12:00:00Z
2018,1,4,1319,1325,-6,1521,1545,-24,DL,1,N971AT,VPS,ATL,44,250,13,25,2018-01-04T13:00:00Z
2018,1,4,1328,1325,3,1544,1543,1,AA,14,N555AN,VPS,DFW,112,641,13,25,2018-01-04T13:00:00Z
2018,1,4,1431,1446,-15,1630,1649,-19,EV,20,N16987,VPS,IAH,95,528,14,46,2018-01-04T14:00:00Z
2018,1,4,1602,1600,2,1840,1845,-5,OH,30,N550NN,VPS,CLT,65,460,16,0,2018-01-04T16:00:00Z
2018,1,4,1650,1655,-5,1905,1914,-9,DL,13,N983DL,VPS,ATL,43,250,16,55,2018-01-04T16:00:00Z
2018,1,4,1716,1715,1,1937,1934,3,MQ,19,N244NN,VPS,DFW,117,641,17,15,2018-01-04T17:00:00Z
2018,1,4,NA,1538,NA,NA,1755,NA,YV,32,N930LR,VPS,DFW,NA,641,15,38,2018-01-04T15:00:00Z
2018,1,5,555,600,-5,801,812,-11,DL,6,N938DL,VPS,ATL,44,250,6,0,2018-01-05T06:00:00Z
2018,1,5,606,610,-4,842,852,-10,OH,22,N584NN,VPS,CLT,76,460,6,10,2018-01-05T06:00:00Z
2018,1,5,652,700,-8,841,900,-19,EV,21,N12540,VPS,IAH,89,528,7,0,2018-01-05T07:00:00Z
2018,1,5,725,730,-5,957,942,15,DL,15,N921DL,VPS,ATL,47,250,7,30,2018-01-05T07:00:00Z
2018,1,5,728,734,-6,938,955,-17,AA,16,N590AA,VPS,DFW,104,641,7,34,2018-01-05T07:00:00Z
2018,1,5,929,932,-3,1144,1150,-6,YV,33,N956LR,VPS,DFW,99,641,9,32,2018-01-05T09:00:00Z
2018,1,5,1028,1031,-3,1231,1246,-15,DL,12,N922AT,VPS,ATL,44,250,10,31,2018-01-05T10:00:00Z
2018,1,5,1243,1245,-2,1521,1529,-8,OH,24,N260JS,VPS,CLT,69,460,12,45,2018-01-05T12:00:00Z
2018,1,5,1322,1325,-3,1528,1543,-15,AA,14,N983TW,VPS,DFW,105,641,13,25,2018-01-05T13:00:00Z
2018,1,5,1325,1325,0,1532,1545,-13,DL,1,N949AT,VPS,ATL,48,250,13,25,2018-01-05T13:00:00Z
2018,1,5,1440,1446,-6,1625,1649,-24,EV,20,N12567,VPS,IAH,89,528,14,46,2018-01-05T14:00:00Z
2018,1,5,1512,1432,40,1655,1622,33,G4,8,331NV,VPS,BLV,79,587,14,32,2018-01-05T14:00:00Z
2018,1,5,1533,1538,-5,1745,1755,-10,YV,32,N921FJ,VPS,DFW,104,641,15,38,2018-01-05T15:00:00Z
2018,1,5,1558,1600,-2,1841,1845,-4,OH,30,N551NN,VPS,CLT,64,460,16,0,2018-01-05T16:00:00Z
2018,1,5,1647,1655,-8,1856,1914,-18,DL,13,N962DL,VPS,ATL,44,250,16,55,2018-01-05T16:00:00Z
2018,1,5,1714,1715,-1,1938,1934,4,MQ,19,N259NN,VPS,DFW,106,641,17,15,2018-01-05T17:00:00Z
2018,1,5,1958,1958,0,2243,2248,-5,G4,7,331NV,VPS,CVG,83,600,19,58,2018-01-05T19:00:00Z
2018,1,6,625,610,15,850,852,-2,OH,22,N556NN,VPS,CLT,66,460,6,10,2018-01-06T06:00:00Z
2018,1,6,641,635,6,842,846,-4,DL,6,N900DE,VPS,ATL,44,250,6,35,2018-01-06T06:00:00Z
2018,1,6,654,700,-6,836,900,-24,EV,21,N13992,VPS,IAH,89,528,7,0,2018-01-06T07:00:00Z
2018,1,6,851,900,-9,1051,1120,-29,AA,16,N968TW,VPS,DFW,97,641,9,0,2018-01-06T09:00:00Z
2018,1,6,856,900,-4,1057,1109,-12,DL,9,N932DL,VPS,ATL,44,250,9,0,2018-01-06T09:00:00Z
2018,1,6,922,932,-10,1134,1150,-16,YV,33,N902FJ,VPS,DFW,102,641,9,32,2018-01-06T09:00:00Z
2018,1,6,1237,1100,97,1542,1409,93,OH,23,N202PS,VPS,DCA,105,789,11,0,2018-01-06T11:00:00Z
2018,1,6,1318,1245,33,1545,1529,16,OH,24,N206PS,VPS,CLT,66,460,12,45,2018-01-06T12:00:00Z
2018,1,6,1356,1400,-4,1602,1616,-14,DL,5,N923AT,VPS,ATL,44,250,14,0,2018-01-06T14:00:00Z
2018,1,6,1403,1325,38,1612,1543,29,AA,14,N983TW,VPS,DFW,105,641,13,25,2018-01-06T13:00:00Z
2018,1,6,1459,1446,13,1656,1649,7,EV,20,N14174,VPS,IAH,94,528,14,46,2018-01-06T14:00:00Z
2018,1,6,1527,1538,-11,1736,1755,-19,YV,32,N930LR,VPS,DFW,103,641,15,38,2018-01-06T15:00:00Z
2018,1,6,1613,1600,13,1900,1845,15,OH,30,N600NN,VPS,CLT,66,460,16,0,2018-01-06T16:00:00Z
2018,1,6,1712,1715,-3,1928,1934,-6,MQ,19,N245NN,VPS,DFW,106,641,17,15,2018-01-06T17:00:00Z
2018,1,7,614,610,4,845,852,-7,OH,22,N574NN,VPS,CLT,69,460,6,10,2018-01-07T06:00:00Z
2018,1,7,644,645,-1,857,857,0,DL,6,N974DL,VPS,ATL,43,250,6,45,2018-01-07T06:00:00Z
2018,1,7,652,700,-8,856,900,-4,EV,21,N15983,VPS,IAH,104,528,7,0,2018-01-07T07:00:00Z
2018,1,7,912,900,12,1132,1120,12,AA,16,N963TW,VPS,DFW,112,641,9,0,2018-01-07T09:00:00Z
2018,1,7,949,932,17,1210,1151,19,MQ,18,N225NN,VPS,DFW,118,641,9,32,2018-01-07T09:00:00Z
2018,1,7,1201,1031,90,1407,1246,81,DL,12,N985DL,VPS,ATL,44,250,10,31,2018-01-07T10:00:00Z
2018,1,7,1326,1325,1,1543,1545,-2,DL,1,N997AT,VPS,ATL,42,250,13,25,2018-01-07T13:00:00Z
2018,1,7,1327,1325,2,1543,1543,0,AA,14,N964TW,VPS,DFW,107,641,13,25,2018-01-07T13:00:00Z
2018,1,7,1349,1245,64,1658,1529,89,OH,24,N220PS,VPS,CLT,72,460,12,45,2018-01-07T12:00:00Z
2018,1,7,1444,1446,-2,1654,1649,5,EV,20,N27190,VPS,IAH,106,528,14,46,2018-01-07T14:00:00Z
2018,1,7,1530,1530,0,1748,1746,2,MQ,17,N263NN,VPS,DFW,114,641,15,30,2018-01-07T15:00:00Z
2018,1,7,1554,1600,-6,1857,1845,12,OH,30,N572NN,VPS,CLT,77,460,16,0,2018-01-07T16:00:00Z
2018,1,7,1641,1615,26,2003,1920,43,OH,27,N708PS,VPS,DCA,101,789,16,15,2018-01-07T16:00:00Z
2018,1,7,1649,1655,-6,1903,1914,-11,DL,13,N912DL,VPS,ATL,42,250,16,55,2018-01-07T16:00:00Z
2018,1,7,1710,1715,-5,1936,1934,2,MQ,19,N227NN,VPS,DFW,114,641,17,15,2018-01-07T17:00:00Z
2018,1,8,555,600,-5,754,810,-16,DL,6,N924DL,VPS,ATL,41,250,6,0,2018-01-08T06:00:00Z
2018,1,8,600,600,0,839,841,-2,OH,22,N584NN,VPS,CLT,74,460,6,0,2018-01-08T06:00:00Z
2018,1,8,649,700,-11,846,900,-14,EV,21,N14558,VPS,IAH,99,528,7,0,2018-01-08T07:00:00Z
2018,1,8,802,730,32,1020,942,38,DL,15,N905DE,VPS,ATL,47,250,7,30,2018-01-08T07:00:00Z
2018,1,8,851,900,-9,1059,1121,-22,AA,16,N9620D,VPS,DFW,99,641,9,0,2018-01-08T09:00:00Z
2018,1,8,1102,1031,31,1314,1246,28,DL,12,N944AT,VPS,ATL,41,250,10,31,2018-01-08T10:00:00Z
2018,1,8,1245,1253,-8,1517,1532,-15,OH,24,N500AE,VPS,CLT,68,460,12,53,2018-01-08T12:00:00Z
2018,1,8,1309,1326,-17,1535,1543,-8,AA,14,N984TW,VPS,DFW,96,641,13,26,2018-01-08T13:00:00Z
2018,1,8,1344,1325,19,1553,1545,8,DL,1,N945AT,VPS,ATL,41,250,13,25,2018-01-08T13:00:00Z
2018,1,8,1404,1412,-8,1545,1615,-30,EV,20,N14174,VPS,IAH,82,528,14,12,2018-01-08T14:00:00Z
2018,1,8,1428,1432,-4,1605,1622,-17,G4,8,331NV,VPS,BLV,84,587,14,32,2018-01-08T14:00:00Z
2018,1,8,1509,1525,-16,1703,1738,-35,YV,32,N919FJ,VPS,DFW,95,641,15,25,2018-01-08T15:00:00Z
2018,1,8,1611,1602,9,1904,1845,19,OH,30,N569NN,VPS,CLT,71,460,16,2,2018-01-08T16:00:00Z
2018,1,8,1658,1655,3,1926,1914,12,DL,13,N937DL,VPS,ATL,43,250,16,55,2018-01-08T16:00:00Z
2018,1,8,1709,1715,-6,1920,1933,-13,YV,31,N921FJ,VPS,DFW,98,641,17,15,2018-01-08T17:00:00Z
2018,1,8,1943,1958,-15,2228,2248,-20,G4,7,331NV,VPS,CVG,91,600,19,58,2018-01-08T19:00:00Z
2018,1,9,549,600,-11,821,841,-20,OH,22,N554NN,VPS,CLT,66,460,6,0,2018-01-09T06:00:00Z
2018,1,9,556,600,-4,800,812,-12,DL,6,N947DL,VPS,ATL,46,250,6,0,2018-01-09T06:00:00Z
2018,1,9,724,730,-6,941,942,-1,DL,15,N931DL,VPS,ATL,48,250,7,30,2018-01-09T07:00:00Z
2018,1,9,850,900,-10,1109,1121,-12,AA,16,N9617R,VPS,DFW,105,641,9,0,2018-01-09T09:00:00Z
2018,1,9,1025,1031,-6,1232,1246,-14,DL,12,N995AT,VPS,ATL,45,250,10,31,2018-01-09T10:00:00Z
2018,1,9,1239,1253,-14,1529,1532,-3,OH,24,N502AE,VPS,CLT,76,460,12,53,2018-01-09T12:00:00Z
2018,1,9,1316,1326,-10,1525,1543,-18,AA,14,N9621A,VPS,DFW,106,641,13,26,2018-01-09T13:00:00Z
2018,1,9,1324,1325,-1,1539,1545,-6,DL,1,N899AT,VPS,ATL,42,250,13,25,2018-01-09T13:00:00Z
2018,1,9,1408,1412,-4,1543,1615,-32,EV,20,N14158,VPS,IAH,79,528,14,12,2018-01-09T14:00:00Z
2018,1,9,1554,1602,-8,1850,1845,5,OH,30,N571NN,VPS,CLT,73,460,16,2,2018-01-09T16:00:00Z
2018,1,9,1648,1655,-7,1909,1914,-5,DL,13,N945DL,VPS,ATL,49,250,16,55,2018-01-09T16:00:00Z
2018,1,9,1703,1715,-12,1916,1933,-17,YV,31,N953LR,VPS,DFW,108,641,17,15,2018-01-09T17:00:00Z
2018,1,9,NA,700,NA,NA,900,NA,YV,34,N86347,VPS,IAH,NA,528,7,0,2018-01-09T07:00:00Z
2018,1,10,548,600,-12,825,841,-16,OH,22,N597NN,VPS,CLT,68,460,6,0,2018-01-10T06:00:00Z
2018,1,10,553,600,-7,757,812,-15,DL,6,N984DL,VPS,ATL,43,250,6,0,2018-01-10T06:00:00Z
2018,1,10,732,730,2,948,942,6,DL,15,N955DL,VPS,ATL,50,250,7,30,2018-01-10T07:00:00Z
2018,1,10,748,700,48,927,900,27,EV,21,N29906,VPS,IAH,83,528,7,0,2018-01-10T07:00:00Z
2018,1,10,900,900,0,1115,1121,-6,AA,16,N9630A,VPS,DFW,110,641,9,0,2018-01-10T09:00:00Z
2018,1,10,1023,1031,-8,1231,1246,-15,DL,12,N993AT,VPS,ATL,42,250,10,31,2018-01-10T10:00:00Z
2018,1,10,1249,1253,-4,1521,1532,-11,OH,24,N537EA,VPS,CLT,71,460,12,53,2018-01-10T12:00:00Z
2018,1,10,1313,1326,-13,1531,1543,-12,AA,14,N501AA,VPS,DFW,109,641,13,26,2018-01-10T13:00:00Z
2018,1,10,1320,1325,-5,1539,1545,-6,DL,1,N938AT,VPS,ATL,43,250,13,25,2018-01-10T13:00:00Z
2018,1,10,1405,1412,-7,1558,1615,-17,EV,20,N11535,VPS,IAH,98,528,14,12,2018-01-10T14:00:00Z
2018,1,10,1558,1602,-4,1841,1845,-4,OH,30,N576NN,VPS,CLT,66,460,16,2,2018-01-10T16:00:00Z
2018,1,10,1651,1655,-4,1916,1914,2,DL,13,N908DE,VPS,ATL,47,250,16,55,2018-01-10T16:00:00Z
2018,1,10,1709,1715,-6,1920,1933,-13,YV,31,N245LR,VPS,DFW,109,641,17,15,2018-01-10T17:00:00Z
2018,1,11,553,600,-7,758,812,-14,DL,6,N903DE,VPS,ATL,41,250,6,0,2018-01-11T06:00:00Z
2018,1,11,558,600,-2,851,841,10,OH,22,N573NN,VPS,CLT,70,460,6,0,2018-01-11T06:00:00Z
2018,1,11,654,700,-6,857,900,-3,EV,21,N17984,VPS,IAH,96,528,7,0,2018-01-11T07:00:00Z
2018,1,11,725,730,-5,943,942,1,DL,15,N985DL,VPS,ATL,45,250,7,30,2018-01-11T07:00:00Z
2018,1,11,851,900,-9,1101,1121,-20,AA,16,N7548A,VPS,DFW,96,641,9,0,2018-01-11T09:00:00Z
2018,1,11,1056,1031,25,1319,1246,33,DL,12,N988AT,VPS,ATL,44,250,10,31,2018-01-11T10:00:00Z
2018,1,11,1251,1253,-2,1543,1532,11,OH,24,N725PS,VPS,CLT,66,460,12,53,2018-01-11T12:00:00Z
2018,1,11,1316,1325,-9,1555,1545,10,DL,1,N980AT,VPS,ATL,46,250,13,25,2018-01-11T13:00:00Z
2018,1,11,1339,1326,13,1544,1543,1,AA,14,N7550,VPS,DFW,104,641,13,26,2018-01-11T13:00:00Z
2018,1,11,1404,1412,-8,1857,1615,NA,EV,20,N29906,VPS,IAH,NA,528,14,12,2018-01-11T14:00:00Z
2018,1,11,1525,1525,0,1734,1738,-4,YV,32,N933LR,VPS,DFW,99,641,15,25,2018-01-11T15:00:00Z
2018,1,11,1601,1602,-1,1844,1845,-1,OH,30,N552NN,VPS,CLT,65,460,16,2,2018-01-11T16:00:00Z
2018,1,11,1654,1655,-1,1920,1914,6,DL,13,N909DE,VPS,ATL,42,250,16,55,2018-01-11T16:00:00Z
2018,1,11,1713,1715,-2,1924,1933,-9,YV,31,N958LR,VPS,DFW,104,641,17,15,2018-01-11T17:00:00Z
2018,1,12,555,600,-5,801,812,-11,DL,6,N933DL,VPS,ATL,39,250,6,0,2018-01-12T06:00:00Z
2018,1,12,653,700,-7,854,900,-6,EV,21,N12900,VPS,IAH,101,528,7,0,2018-01-12T07:00:00Z
2018,1,12,853,900,-7,1107,1121,-14,AA,16,N424AA,VPS,DFW,102,641,9,0,2018-01-12T09:00:00Z
2018,1,12,916,730,106,1120,942,98,DL,15,N942DL,VPS,ATL,45,250,7,30,2018-01-12T07:00:00Z
2018,1,12,1025,1031,-6,1236,1246,-10,DL,12,N995AT,VPS,ATL,45,250,10,31,2018-01-12T10:00:00Z
2018,1,12,1259,1253,6,1531,1532,-1,OH,24,N578NN,VPS,CLT,69,460,12,53,2018-01-12T12:00:00Z
2018,1,12,1358,1326,32,1603,1543,20,AA,14,N965TW,VPS,DFW,105,641,13,26,2018-01-12T13:00:00Z
2018,1,12,1406,1412,-6,1559,1615,-16,EV,20,N11547,VPS,IAH,97,528,14,12,2018-01-12T14:00:00Z
2018,1,12,1431,1437,-6,1614,1627,-13,G4,8,248NV,VPS,BLV,80,587,14,37,2018-01-12T14:00:00Z
2018,1,12,1513,1325,108,1714,1545,89,DL,1,N987DL,VPS,ATL,47,250,13,25,2018-01-12T13:00:00Z
2018,1,12,1532,1525,7,1740,1738,2,YV,32,N930LR,VPS,DFW,100,641,15,25,2018-01-12T15:00:00Z
2018,1,12,1606,1602,4,1902,1845,17,OH,30,N570NN,VPS,CLT,77,460,16,2,2018-01-12T16:00:00Z
2018,1,12,1658,1715,-17,1923,1933,-10,YV,31,N242LR,VPS,DFW,104,641,17,15,2018-01-12T17:00:00Z
2018,1,12,1920,1655,145,2128,1914,134,DL,13,N948DL,VPS,ATL,48,250,16,55,2018-01-12T16:00:00Z
2018,1,12,1957,2003,-6,2240,2253,-13,G4,7,248NV,VPS,CVG,82,600,20,3,2018-01-12T20:00:00Z
2018,1,12,NA,600,NA,NA,841,NA,OH,22,N599NN,VPS,CLT,NA,460,6,0,2018-01-12T06:00:00Z
2018,1,13,555,600,-5,836,841,-5,OH,22,N576NN,VPS,CLT,65,460,6,0,2018-01-13T06:00:00Z
2018,1,13,634,635,-1,911,846,25,DL,6,N960DL,VPS,ATL,46,250,6,35,2018-01-13T06:00:00Z
2018,1,13,656,700,-4,919,900,19,EV,21,N14977,VPS,IAH,97,528,7,0,2018-01-13T07:00:00Z
2018,1,13,854,900,-6,1110,1121,-11,AA,16,N590AA,VPS,DFW,109,641,9,0,2018-01-13T09:00:00Z
2018,1,13,856,900,-4,1101,1109,-8,DL,9,N959DL,VPS,ATL,43,250,9,0,2018-01-13T09:00:00Z
2018,1,13,1109,1100,9,1358,1417,-19,OH,23,N207PS,VPS,DCA,92,789,11,0,2018-01-13T11:00:00Z
2018,1,13,1319,1326,-7,1540,1543,-3,AA,14,N9615W,VPS,DFW,107,641,13,26,2018-01-13T13:00:00Z
2018,1,13,1353,1400,-7,1558,1616,-18,DL,5,N988DN,VPS,ATL,41,250,14,0,2018-01-13T14:00:00Z
2018,1,13,1408,1412,-4,1600,1615,-15,EV,20,N48901,VPS,IAH,97,528,14,12,2018-01-13T14:00:00Z
2018,1,13,1509,1253,136,1721,1532,109,OH,24,N561NN,VPS,CLT,58,460,12,53,2018-01-13T12:00:00Z
2018,1,13,1517,1525,-8,1719,1738,-19,YV,32,N247LR,VPS,DFW,100,641,15,25,2018-01-13T15:00:00Z
2018,1,13,1634,1602,32,1902,1845,17,OH,30,N582NN,VPS,CLT,58,460,16,2,2018-01-13T16:00:00Z
2018,1,14,639,645,-6,904,856,8,DL,6,N903DE,VPS,ATL,43,250,6,45,2018-01-14T06:00:00Z
2018,1,14,736,600,96,1038,841,117,OH,22,N580NN,VPS,CLT,66,460,6,0,2018-01-14T06:00:00Z
2018,1,14,853,900,-7,1107,1121,-14,AA,16,N9621A,VPS,DFW,109,641,9,0,2018-01-14T09:00:00Z
2018,1,14,854,900,-6,1101,1109,-8,DL,9,N910DL,VPS,ATL,41,250,9,0,2018-01-14T09:00:00Z
2018,1,14,1301,1253,8,1528,1532,-4,OH,24,N577NN,VPS,CLT,61,460,12,53,2018-01-14T12:00:00Z
2018,1,14,1319,1326,-7,1542,1543,-1,AA,14,N9681B,VPS,DFW,118,641,13,26,2018-01-14T13:00:00Z
2018,1,14,1353,1400,-7,1555,1616,-21,DL,3,N932AT,VPS,ATL,41,250,14,0,2018-01-14T14:00:00Z
2018,1,14,1408,1412,-4,1601,1615,-14,EV,20,N11547,VPS,IAH,95,528,14,12,2018-01-14T14:00:00Z
2018,1,14,1514,1525,-11,1734,1738,-4,YV,32,N946LR,VPS,DFW,113,641,15,25,2018-01-14T15:00:00Z
2018,1,14,1557,1602,-5,1834,1845,-11,OH,30,N586NN,VPS,CLT,62,460,16,2,2018-01-14T16:00:00Z
2018,1,14,1711,1715,-4,1944,1933,11,YV,31,N903FJ,VPS,DFW,113,641,17,15,2018-01-14T17:00:00Z
2018,1,14,1718,1548,90,2016,1900,76,OH,27,N718PS,VPS,DCA,106,789,15,48,2018-01-14T15:00:00Z
2018,1,15,557,600,-3,812,810,2,DL,6,N906DE,VPS,ATL,41,250,6,0,2018-01-15T06:00:00Z
2018,1,15,558,600,-2,853,841,12,OH,22,N557NN,VPS,CLT,67,460,6,0,2018-01-15T06:00:00Z
2018,1,15,652,700,-8,835,900,-25,EV,21,N13979,VPS,IAH,86,528,7,0,2018-01-15T07:00:00Z
2018,1,15,724,730,-6,936,942,-6,DL,15,N956DL,VPS,ATL,40,250,7,30,2018-01-15T07:00:00Z
2018,1,15,900,900,0,1111,1121,-10,AA,16,N501AA,VPS,DFW,101,641,9,0,2018-01-15T09:00:00Z
2018,1,15,1023,1031,-8,1223,1246,-23,DL,12,N894AT,VPS,ATL,42,250,10,31,2018-01-15T10:00:00Z
2018,1,15,1321,1325,-4,1531,1545,-14,DL,1,N928AT,VPS,ATL,44,250,13,25,2018-01-15T13:00:00Z
2018,1,15,1322,1253,29,1557,1532,25,OH,24,N513AE,VPS,CLT,62,460,12,53,2018-01-15T12:00:00Z
2018,1,15,1324,1326,-2,1553,1543,10,AA,14,N7548A,VPS,DFW,106,641,13,26,2018-01-15T13:00:00Z
2018,1,15,1412,1412,0,1610,1615,-5,EV,20,N14991,VPS,IAH,92,528,14,12,2018-01-15T14:00:00Z
2018,1,15,1420,1437,-17,1611,1627,-16,G4,8,246NV,VPS,BLV,82,587,14,37,2018-01-15T14:00:00Z
2018,1,15,1520,1525,-5,1722,1738,-16,YV,32,N939LR,VPS,DFW,101,641,15,25,2018-01-15T15:00:00Z
2018,1,15,1558,1602,-4,1901,1845,16,OH,30,N593NN,VPS,CLT,64,460,16,2,2018-01-15T16:00:00Z
