year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2018,1,1,551,600,-9,729,740,-11,DL,21,N926DL,SRQ,ATL,73,444,6,0,2018-01-01T06:00:00Z
2018,1,1,752,800,-8,946,940,6,DL,10,N991DL,SRQ,ATL,75,444,8,0,2018-01-01T08:00:00Z
2018,1,1,820,824,-4,1014,1020,-6,OH,29,N599NN,SRQ,CLT,81,547,8,24,2018-01-01T08:00:00Z
2018,1,1,948,955,-7,1207,1212,-5,OH,34,N572NN,SRQ,DCA,125,851,9,55,2018-01-01T09:00:00Z
2018,1,1,1110,1120,-10,1339,1411,-32,UA,7,N76508,SRQ,EWR,130,1034,11,20,2018-01-01T11:00:00Z
2018,1,1,1157,1202,-5,1436,1448,-12,DL,12,N919DE,SRQ,DTW,139,1022,12,2,2018-01-01T12:00:00Z
2018,1,1,1223,1230,-7,1459,1517,-18,9E,23,N310PQ,SRQ,JFK,134,1041,12,30,2018-01-01T12:00:00Z
2018,1,1,1229,1234,-5,1417,1431,-14,UA,13,N462UA,SRQ,ORD,150,1050,12,34,2018-01-01T12:00:00Z
2018,1,1,1256,1305,-9,1442,1448,-6,DL,14,N932DL,SRQ,ATL,75,444,13,5,2018-01-01T13:00:00Z
2018,1,1,1434,1442,-8,1708,1730,-22,DL,17,N339NW,SRQ,LGA,132,1047,14,42,2018-01-01T14:00:00Z
2018,1,1,1455,1447,8,1718,1729,-11,B6,1,N768JB,SRQ,JFK,128,1041,14,47,2018-01-01T14:00:00Z
2018,1,1,1510,1520,-10,1651,1713,-22,OH,35,N723PS,SRQ,CLT,78,547,15,20,2018-01-01T15:00:00Z
2018,1,1,1511,1457,14,1648,1654,-6,UA,15,N825UA,SRQ,ORD,144,1050,14,57,2018-01-01T14:00:00Z
2018,1,1,1515,1520,-5,1656,1704,-8,DL,19,N988DL,SRQ,ATL,74,444,15,20,2018-01-01T15:00:00Z
2018,1,1,1629,1559,30,1914,1900,14,B6,5,N375JB,SRQ,BOS,143,1220,15,59,2018-01-01T15:00:00Z
2018,1,1,1752,1341,251,1943,1535,248,OH,31,N592NN,SRQ,CLT,79,547,13,41,2018-01-01T13:00:00Z
2018,1,1,1839,1845,-6,2009,2030,-21,DL,18,N903DE,SRQ,ATL,74,444,18,45,2018-01-01T18:00:00Z
2018,1,1,1942,1930,12,2127,2120,7,OH,30,N586NN,SRQ,CLT,76,547,19,30,2018-01-01T19:00:00Z
2018,1,2,552,600,-8,725,740,-15,DL,21,N980DL,SRQ,ATL,72,444,6,0,2018-01-02T06:00:00Z
2018,1,2,651,655,-4,851,911,-20,OH,34,N566NN,SRQ,DCA,105,851,6,55,2018-01-02T06:00:00Z
2018,1,2,755,800,-5,922,940,-18,DL,10,N942DL,SRQ,ATL,71,444,8,0,2018-01-02T08:00:00Z
2018,1,2,812,824,-12,1007,1020,-13,OH,29,N555NN,SRQ,CLT,77,547,8,24,2018-01-02T08:00:00Z
2018,1,2,1113,1120,-7,1407,1411,-4,UA,7,N37263,SRQ,EWR,147,1034,11,20,2018-01-02T11:00:00Z
2018,1,2,1120,1109,11,1251,1249,2,DL,20,N953DL,SRQ,ATL,70,444,11,9,2018-01-02T11:00:00Z
2018,1,2,1201,1202,-1,1441,1448,-7,DL,12,N973DL,SRQ,DTW,143,1022,12,2,2018-01-02T12:00:00Z
2018,1,2,1223,1234,-11,1423,1431,-8,UA,13,N437UA,SRQ,ORD,143,1050,12,34,2018-01-02T12:00:00Z
2018,1,2,1225,1230,-5,1509,1517,-8,9E,23,N908XJ,SRQ,JFK,134,1041,12,30,2018-01-02T12:00:00Z
2018,1,2,1247,1225,22,1525,1510,15,9E,25,N920XJ,SRQ,LGA,137,1047,12,25,2018-01-02T12:00:00Z
2018,1,2,1257,1300,-3,1428,1443,-15,DL,14,N942DL,SRQ,ATL,74,444,13,0,2018-01-02T13:00:00Z
2018,1,2,1403,1341,22,1553,1535,18,OH,31,N599NN,SRQ,CLT,77,547,13,41,2018-01-02T13:00:00Z
2018,1,2,1458,1447,11,1738,1729,9,B6,1,N524JB,SRQ,JFK,141,1041,14,47,2018-01-02T14:00:00Z
2018,1,2,1501,1505,-4,1732,1750,-18,DL,4,N343NW,SRQ,LGA,132,1047,15,5,2018-01-02T15:00:00Z
2018,1,2,1514,1520,-6,1643,1704,-21,DL,19,N969DL,SRQ,ATL,75,444,15,20,2018-01-02T15:00:00Z
2018,1,2,1516,1457,19,1649,1654,-5,UA,15,N815UA,SRQ,ORD,142,1050,14,57,2018-01-02T14:00:00Z
2018,1,2,1522,1515,7,1700,1708,-8,OH,35,N511AE,SRQ,CLT,81,547,15,15,2018-01-02T15:00:00Z
2018,1,2,1552,1559,-7,1848,1900,-12,B6,5,N307JB,SRQ,BOS,158,1220,15,59,2018-01-02T15:00:00Z
2018,1,2,1740,1728,12,1912,1913,-1,DL,8,N955DL,SRQ,ATL,75,444,17,28,2018-01-02T17:00:00Z
2018,1,2,1919,1930,-11,2105,2120,-15,OH,30,N598NN,SRQ,CLT,77,547,19,30,2018-01-02T19:00:00Z
2018,1,2,1931,1935,-4,2105,2121,-16,DL,16,N990DL,SRQ,ATL,72,444,19,35,2018-01-02T19:00:00Z
2018,1,3,543,545,-2,717,725,-8,DL,11,N931DL,SRQ,ATL,71,444,5,45,2018-01-03T05:00:00Z
2018,1,3,653,655,-2,950,911,39,OH,34,N558NN,SRQ,DCA,104,851,6,55,2018-01-03T06:00:00Z
2018,1,3,755,800,-5,925,939,-14,DL,10,N916DN,SRQ,ATL,66,444,8,0,2018-01-03T08:00:00Z
2018,1,3,820,824,-4,1008,1020,-12,OH,29,N579NN,SRQ,CLT,77,547,8,24,2018-01-03T08:00:00Z
2018,1,3,1109,1115,-6,1236,1254,-18,DL,20,N943DL,SRQ,ATL,69,444,11,15,2018-01-03T11:00:00Z
2018,1,3,1116,1120,-4,1354,1411,-17,UA,7,N33292,SRQ,EWR,134,1034,11,20,2018-01-03T11:00:00Z
2018,1,3,1237,1237,0,1411,1420,-9,DL,14,N904DL,SRQ,ATL,76,444,12,37,2018-01-03T12:00:00Z
2018,1,3,1342,1234,68,1519,1431,48,UA,13,N421UA,SRQ,ORD,143,1050,12,34,2018-01-03T12:00:00Z
2018,1,3,1348,1341,7,1531,1535,-4,OH,31,N554NN,SRQ,CLT,81,547,13,41,2018-01-03T13:00:00Z
2018,1,3,1411,1419,-8,1643,1715,-32,DL,9,N893AT,SRQ,LGA,129,1047,14,19,2018-01-03T14:00:00Z
2018,1,3,1501,1447,14,1712,1729,-17,B6,1,N588JB,SRQ,JFK,120,1041,14,47,2018-01-03T14:00:00Z
2018,1,3,1513,1457,16,1648,1654,-6,UA,15,N835UA,SRQ,ORD,143,1050,14,57,2018-01-03T14:00:00Z
2018,1,3,1526,1515,11,1706,1708,-2,OH,35,N706PS,SRQ,CLT,80,547,15,15,2018-01-03T15:00:00Z
2018,1,3,1548,1559,-11,1732,1741,-9,DL,22,N943DL,SRQ,ATL,75,444,15,59,2018-01-03T15:00:00Z
2018,1,3,1609,1559,10,1902,1900,2,B6,5,N304JB,SRQ,BOS,146,1220,15,59,2018-01-03T15:00:00Z
2018,1,3,1840,1845,-5,2023,2029,-6,DL,8,N953DL,SRQ,ATL,78,444,18,45,2018-01-03T18:00:00Z
2018,1,3,1919,1930,-11,2106,2120,-14,OH,30,N563NN,SRQ,CLT,85,547,19,30,2018-01-03T19:00:00Z
2018,1,4,600,545,15,731,725,6,DL,11,N927DN,SRQ,ATL,70,444,5,45,2018-01-04T05:00:00Z
2018,1,4,650,655,-5,908,911,-3,OH,34,N548NN,SRQ,DCA,116,851,6,55,2018-01-04T06:00:00Z
2018,1,4,753,800,-7,932,939,-7,DL,10,N907DA,SRQ,ATL,80,444,8,0,2018-01-04T08:00:00Z
2018,1,4,822,824,-2,1022,1020,2,OH,29,N552NN,SRQ,CLT,84,547,8,24,2018-01-04T08:00:00Z
2018,1,4,1111,1115,-4,1256,1254,2,DL,20,N933DL,SRQ,ATL,82,444,11,15,2018-01-04T11:00:00Z
2018,1,4,1230,1237,-7,1407,1420,-13,DL,14,N904DE,SRQ,ATL,83,444,12,37,2018-01-04T12:00:00Z
2018,1,4,1241,1234,7,1431,1431,0,UA,13,N409UA,SRQ,ORD,151,1050,12,34,2018-01-04T12:00:00Z
2018,1,4,1341,1341,0,1539,1535,4,OH,31,N584NN,SRQ,CLT,90,547,13,41,2018-01-04T13:00:00Z
2018,1,4,1552,1457,55,1738,1654,44,UA,15,N810UA,SRQ,ORD,153,1050,14,57,2018-01-04T14:00:00Z
2018,1,4,1559,1559,0,1738,1741,-3,DL,22,N920DN,SRQ,ATL,82,444,15,59,2018-01-04T15:00:00Z
2018,1,4,1622,1515,67,1804,1708,56,OH,35,N545PB,SRQ,CLT,83,547,15,15,2018-01-04T15:00:00Z
2018,1,4,1926,1930,-4,2112,2120,-8,OH,30,N552NN,SRQ,CLT,83,547,19,30,2018-01-04T19:00:00Z
2018,1,4,2032,1845,107,2204,2029,95,DL,8,N903DE,SRQ,ATL,78,444,18,45,2018-01-04T18:00:00Z
2018,1,4,NA,1133,NA,NA,1414,NA,B6,1,N608JB,SRQ,JFK,NA,1041,11,33,2018-01-04T11:00:00Z
2018,1,4,NA,1505,NA,NA,1807,NA,B6,5,N523JB,SRQ,BOS,NA,1220,15,5,2018-01-04T15:00:00Z
2018,1,4,NA,1419,NA,NA,1715,NA,DL,9,N992AT,SRQ,LGA,NA,1047,14,19,2018-01-04T14:00:00Z
2018,1,4,NA,1120,NA,NA,1411,NA,UA,7,NA,SRQ,EWR,NA,1034,11,20,2018-01-04T11:00:00Z
2018,1,5,542,545,-3,708,725,-17,DL,11,N929DN,SRQ,ATL,71,444,5,45,2018-01-05T05:00:00Z
2018,1,5,647,655,-8,857,911,-14,OH,34,N561NN,SRQ,DCA,112,851,6,55,2018-01-05T06:00:00Z
2018,1,5,754,800,-6,928,939,-11,DL,10,N920DN,SRQ,ATL,73,444,8,0,2018-01-05T08:00:00Z
2018,1,5,824,824,0,1010,1020,-10,OH,29,N576NN,SRQ,CLT,75,547,8,24,2018-01-05T08:00:00Z
2018,1,5,1113,1115,-2,1249,1254,-5,DL,20,N970DL,SRQ,ATL,74,444,11,15,2018-01-05T11:00:00Z
2018,1,5,1233,1234,-1,1418,1431,-13,UA,13,N414UA,SRQ,ORD,153,1050,12,34,2018-01-05T12:00:00Z
2018,1,5,1235,1237,-2,1408,1420,-12,DL,14,N964DL,SRQ,ATL,73,444,12,37,2018-01-05T12:00:00Z
2018,1,5,1324,1120,124,1602,1411,111,UA,7,N87527,SRQ,EWR,134,1034,11,20,2018-01-05T11:00:00Z
2018,1,5,1344,1341,3,1526,1535,-9,OH,31,N600NN,SRQ,CLT,79,547,13,41,2018-01-05T13:00:00Z
2018,1,5,1414,1419,-5,1709,1715,-6,DL,9,N992AT,SRQ,LGA,140,1047,14,19,2018-01-05T14:00:00Z
2018,1,5,1515,1515,0,1700,1708,-8,OH,35,N703PS,SRQ,CLT,79,547,15,15,2018-01-05T15:00:00Z
2018,1,5,1553,1559,-6,1716,1741,-25,DL,22,N957DN,SRQ,ATL,68,444,15,59,2018-01-05T15:00:00Z
2018,1,5,1634,1457,97,1825,1654,91,UA,15,N814UA,SRQ,ORD,159,1050,14,57,2018-01-05T14:00:00Z
2018,1,5,1913,1845,28,2047,2029,18,DL,8,N947DL,SRQ,ATL,74,444,18,45,2018-01-05T18:00:00Z
2018,1,5,1918,1930,-12,2113,2120,-7,OH,30,N550NN,SRQ,CLT,77,547,19,30,2018-01-05T19:00:00Z
2018,1,5,NA,1148,NA,NA,1429,NA,B6,1,N746JB,SRQ,JFK,NA,1041,11,48,2018-01-05T11:00:00Z
2018,1,5,NA,1445,NA,NA,1747,NA,B6,5,N594JB,SRQ,BOS,NA,1220,14,45,2018-01-05T14:00:00Z
2018,1,6,557,600,-3,728,735,-7,DL,11,N901DA,SRQ,ATL,71,444,6,0,2018-01-06T06:00:00Z
2018,1,6,754,800,-6,924,938,-14,DL,10,N910DN,SRQ,ATL,73,444,8,0,2018-01-06T08:00:00Z
2018,1,6,814,824,-10,1014,1020,-6,OH,29,N591NN,SRQ,CLT,73,547,8,24,2018-01-06T08:00:00Z
2018,1,6,830,844,-14,1043,1100,-17,OH,34,N597NN,SRQ,DCA,119,851,8,44,2018-01-06T08:00:00Z
2018,1,6,1114,1115,-1,1245,1254,-9,DL,20,N922DL,SRQ,ATL,71,444,11,15,2018-01-06T11:00:00Z
2018,1,6,1152,1200,-8,1427,1453,-26,DL,2,N988DN,SRQ,DTW,136,1022,12,0,2018-01-06T12:00:00Z
2018,1,6,1158,1118,40,1504,1408,56,UA,7,N498UA,SRQ,EWR,134,1034,11,18,2018-01-06T11:00:00Z
2018,1,6,1241,1237,4,1408,1420,-12,DL,14,N946DL,SRQ,ATL,70,444,12,37,2018-01-06T12:00:00Z
2018,1,6,1242,1225,17,1555,1513,42,9E,24,N937XJ,SRQ,JFK,131,1041,12,25,2018-01-06T12:00:00Z
2018,1,6,1343,1341,2,1528,1535,-7,OH,31,N564NN,SRQ,CLT,81,547,13,41,2018-01-06T13:00:00Z
2018,1,6,1453,1457,-4,1648,1701,-13,YX,27,N746YX,SRQ,ORD,154,1050,14,57,2018-01-06T14:00:00Z
2018,1,6,1501,1503,-2,1754,1757,-3,DL,3,N998AT,SRQ,LGA,129,1047,15,3,2018-01-06T15:00:00Z
2018,1,6,1507,1515,-8,1711,1730,-19,OH,32,N705PS,SRQ,DCA,109,851,15,15,2018-01-06T15:00:00Z
2018,1,6,1521,1445,36,1840,1747,53,B6,5,N564JB,SRQ,BOS,160,1220,14,45,2018-01-06T14:00:00Z
2018,1,6,1605,1559,6,1733,1740,-7,DL,22,N922DL,SRQ,ATL,72,444,15,59,2018-01-06T15:00:00Z
2018,1,6,1914,1930,-16,2103,2120,-17,OH,30,N574NN,SRQ,CLT,75,547,19,30,2018-01-06T19:00:00Z
2018,1,6,NA,1148,NA,NA,1429,NA,B6,1,N527JB,SRQ,JFK,NA,1041,11,48,2018-01-06T11:00:00Z
2018,1,7,756,800,-4,926,939,-13,DL,10,N920DN,SRQ,ATL,72,444,8,0,2018-01-07T08:00:00Z
2018,1,7,817,824,-7,1021,1020,1,OH,29,N570NN,SRQ,CLT,82,547,8,24,2018-01-07T08:00:00Z
2018,1,7,1110,1115,-5,1247,1254,-7,DL,20,N910DN,SRQ,ATL,73,444,11,15,2018-01-07T11:00:00Z
2018,1,7,1121,1120,1,1416,1411,5,UA,7,N26232,SRQ,EWR,154,1034,11,20,2018-01-07T11:00:00Z
2018,1,7,1214,1201,13,1403,1358,5,UA,13,N434UA,SRQ,ORD,152,1050,12,1,2018-01-07T12:00:00Z
2018,1,7,1238,1148,50,1521,1429,52,B6,1,N629JB,SRQ,JFK,137,1041,11,48,2018-01-07T11:00:00Z
2018,1,7,1333,1341,-8,1522,1535,-13,OH,31,N563NN,SRQ,CLT,91,547,13,41,2018-01-07T13:00:00Z
2018,1,7,1336,1237,59,1516,1420,56,DL,14,N911DL,SRQ,ATL,75,444,12,37,2018-01-07T12:00:00Z
2018,1,7,1412,1419,-7,1655,1715,-20,DL,9,N910AT,SRQ,LGA,144,1047,14,19,2018-01-07T14:00:00Z
2018,1,7,1450,1445,5,1757,1747,10,B6,5,N598JB,SRQ,BOS,167,1220,14,45,2018-01-07T14:00:00Z
2018,1,7,1557,1559,-2,1731,1741,-10,DL,22,N952DL,SRQ,ATL,75,444,15,59,2018-01-07T15:00:00Z
2018,1,7,1806,1457,189,1946,1654,172,UA,15,N478UA,SRQ,ORD,137,1050,14,57,2018-01-07T14:00:00Z
2018,1,7,1843,1845,-2,2020,2029,-9,DL,8,N915DL,SRQ,ATL,74,444,18,45,2018-01-07T18:00:00Z
2018,1,7,1924,1930,-6,2122,2120,2,OH,30,N545PB,SRQ,CLT,94,547,19,30,2018-01-07T19:00:00Z
2018,1,7,NA,655,NA,NA,911,NA,OH,34,N596NN,SRQ,DCA,NA,851,6,55,2018-01-07T06:00:00Z
2018,1,8,538,545,-7,733,725,8,DL,11,N952DN,SRQ,ATL,71,444,5,45,2018-01-08T05:00:00Z
2018,1,8,656,700,-4,914,922,-8,OH,34,N587NN,SRQ,DCA,120,851,7,0,2018-01-08T07:00:00Z
2018,1,8,813,825,-12,1006,1025,-19,OH,29,N585NN,SRQ,CLT,84,547,8,25,2018-01-08T08:00:00Z
2018,1,8,817,800,17,1000,939,21,DL,10,N949DL,SRQ,ATL,69,444,8,0,2018-01-08T08:00:00Z
2018,1,8,1017,1020,-3,1210,1214,-4,OH,28,N598NN,SRQ,CLT,83,547,10,20,2018-01-08T10:00:00Z
2018,1,8,1139,1115,24,1319,1254,25,DL,20,N973DL,SRQ,ATL,70,444,11,15,2018-01-08T11:00:00Z
2018,1,8,1144,1148,-4,1417,1429,-12,B6,1,N760JB,SRQ,JFK,134,1041,11,48,2018-01-08T11:00:00Z
2018,1,8,1240,1237,3,1415,1420,-5,DL,14,N906DE,SRQ,ATL,68,444,12,37,2018-01-08T12:00:00Z
2018,1,8,1342,1345,-3,1546,1535,11,OH,31,N563NN,SRQ,CLT,88,547,13,45,2018-01-08T13:00:00Z
2018,1,8,1446,1419,27,1733,1715,18,DL,9,N987AT,SRQ,LGA,136,1047,14,19,2018-01-08T14:00:00Z
2018,1,8,1446,1445,1,1749,1747,2,B6,5,N598JB,SRQ,BOS,165,1220,14,45,2018-01-08T14:00:00Z
2018,1,8,1656,1642,14,1825,1825,0,DL,6,N942DN,SRQ,ATL,70,444,16,42,2018-01-08T16:00:00Z
2018,1,8,1923,1845,38,2057,2029,28,DL,8,N938DL,SRQ,ATL,75,444,18,45,2018-01-08T18:00:00Z
2018,1,8,NA,1135,NA,NA,1431,NA,YX,26,N732YX,SRQ,EWR,NA,1034,11,35,2018-01-08T11:00:00Z
2018,1,9,549,545,4,713,725,-12,DL,11,N922DX,SRQ,ATL,67,444,5,45,2018-01-09T05:00:00Z
2018,1,9,654,700,-6,1135,922,NA,OH,34,N573NN,SRQ,DCA,NA,851,7,0,2018-01-09T07:00:00Z
2018,1,9,755,800,-5,925,939,-14,DL,10,N923DN,SRQ,ATL,70,444,8,0,2018-01-09T08:00:00Z
2018,1,9,822,825,-3,1021,1025,-4,OH,29,N582NN,SRQ,CLT,82,547,8,25,2018-01-09T08:00:00Z
2018,1,9,1017,1020,-3,1203,1214,-11,OH,28,N567NN,SRQ,CLT,73,547,10,20,2018-01-09T10:00:00Z
2018,1,9,1113,1115,-2,1244,1254,-10,DL,20,N984DL,SRQ,ATL,74,444,11,15,2018-01-09T11:00:00Z
2018,1,9,1127,1135,-8,1420,1431,-11,YX,26,N722YX,SRQ,EWR,142,1034,11,35,2018-01-09T11:00:00Z
2018,1,9,1148,1148,0,1422,1429,-7,B6,1,N623JB,SRQ,JFK,136,1041,11,48,2018-01-09T11:00:00Z
2018,1,9,1236,1237,-1,1408,1420,-12,DL,14,N917DL,SRQ,ATL,71,444,12,37,2018-01-09T12:00:00Z
2018,1,9,1345,1345,0,1547,1535,12,OH,31,N584NN,SRQ,CLT,84,547,13,45,2018-01-09T13:00:00Z
2018,1,9,1414,1419,-5,1703,1715,-12,DL,9,N939AT,SRQ,LGA,147,1047,14,19,2018-01-09T14:00:00Z
2018,1,9,1448,1445,3,1751,1747,4,B6,5,N584JB,SRQ,BOS,161,1220,14,45,2018-01-09T14:00:00Z
2018,1,9,1549,1559,-10,1721,1741,-20,DL,22,N910DN,SRQ,ATL,71,444,15,59,2018-01-09T15:00:00Z
2018,1,9,1841,1845,-4,2030,2029,1,DL,8,N949DL,SRQ,ATL,78,444,18,45,2018-01-09T18:00:00Z
2018,1,10,537,545,-8,710,725,-15,DL,11,N910DN,SRQ,ATL,72,444,5,45,2018-01-10T05:00:00Z
2018,1,10,655,700,-5,913,922,-9,OH,34,N570NN,SRQ,DCA,124,851,7,0,2018-01-10T07:00:00Z
2018,1,10,752,800,-8,936,939,-3,DL,10,N909DA,SRQ,ATL,83,444,8,0,2018-01-10T08:00:00Z
2018,1,10,821,825,-4,1003,1025,-22,OH,29,N585NN,SRQ,CLT,85,547,8,25,2018-01-10T08:00:00Z
2018,1,10,1014,1020,-6,1207,1214,-7,OH,28,N586NN,SRQ,CLT,84,547,10,20,2018-01-10T10:00:00Z
2018,1,10,1107,1115,-8,1248,1254,-6,DL,20,N984DL,SRQ,ATL,80,444,11,15,2018-01-10T11:00:00Z
2018,1,10,1132,1135,-3,1423,1431,-8,YX,26,N736YX,SRQ,EWR,146,1034,11,35,2018-01-10T11:00:00Z
2018,1,10,1140,1148,-8,1416,1429,-13,B6,1,N565JB,SRQ,JFK,140,1041,11,48,2018-01-10T11:00:00Z
2018,1,10,1231,1237,-6,1403,1420,-17,DL,14,N977DL,SRQ,ATL,72,444,12,37,2018-01-10T12:00:00Z
2018,1,10,1344,1345,-1,1530,1535,-5,OH,31,N563NN,SRQ,CLT,86,547,13,45,2018-01-10T13:00:00Z
2018,1,10,1413,1419,-6,1706,1715,-9,DL,9,N930AT,SRQ,LGA,146,1047,14,19,2018-01-10T14:00:00Z
2018,1,10,1432,1445,-13,1742,1747,-5,B6,5,N641JB,SRQ,BOS,167,1220,14,45,2018-01-10T14:00:00Z
2018,1,10,1555,1559,-4,1733,1741,-8,DL,22,N911DA,SRQ,ATL,75,444,15,59,2018-01-10T15:00:00Z
2018,1,10,1841,1845,-4,2019,2029,-10,DL,8,N986DL,SRQ,ATL,76,444,18,45,2018-01-10T18:00:00Z
2018,1,10,1918,1930,-12,2101,2121,-20,OH,30,N587NN,SRQ,CLT,78,547,19,30,2018-01-10T19:00:00Z
2018,1,11,541,545,-4,710,725,-15,DL,11,N946DN,SRQ,ATL,69,444,5,45,2018-01-11T05:00:00Z
2018,1,11,653,700,-7,913,922,-9,OH,34,N579NN,SRQ,DCA,120,851,7,0,2018-01-11T07:00:00Z
2018,1,11,752,800,-8,930,939,-9,DL,10,N911DA,SRQ,ATL,73,444,8,0,2018-01-11T08:00:00Z
2018,1,11,819,825,-6,1015,1025,-10,OH,29,N591NN,SRQ,CLT,90,547,8,25,2018-01-11T08:00:00Z
2018,1,11,1028,1020,8,1224,1214,10,OH,28,N555NN,SRQ,CLT,80,547,10,20,2018-01-11T10:00:00Z
2018,1,11,1124,1135,-11,1407,1431,-24,YX,26,N727YX,SRQ,EWR,139,1034,11,35,2018-01-11T11:00:00Z
2018,1,11,1131,1115,16,1304,1254,10,DL,20,N942DL,SRQ,ATL,71,444,11,15,2018-01-11T11:00:00Z
2018,1,11,1135,1148,-13,1414,1429,-15,B6,1,N644JB,SRQ,JFK,142,1041,11,48,2018-01-11T11:00:00Z
2018,1,11,1247,1237,10,1422,1420,2,DL,14,N981DL,SRQ,ATL,71,444,12,37,2018-01-11T12:00:00Z
2018,1,11,1414,1419,-5,1652,1715,-23,DL,9,N972AT,SRQ,LGA,140,1047,14,19,2018-01-11T14:00:00Z
2018,1,11,1418,1345,33,1551,1535,16,OH,31,N556NN,SRQ,CLT,77,547,13,45,2018-01-11T13:00:00Z
2018,1,11,1519,1445,34,1844,1747,57,B6,5,N618JB,SRQ,BOS,177,1220,14,45,2018-01-11T14:00:00Z
2018,1,11,1618,1559,19,1754,1741,13,DL,22,N913DN,SRQ,ATL,69,444,15,59,2018-01-11T15:00:00Z
2018,1,11,1839,1845,-6,2021,2029,-8,DL,8,N970DL,SRQ,ATL,74,444,18,45,2018-01-11T18:00:00Z
2018,1,11,1917,1930,-13,2105,2121,-16,OH,30,N565NN,SRQ,CLT,76,547,19,30,2018-01-11T19:00:00Z
2018,1,12,540,545,-5,707,725,-18,DL,11,N913DN,SRQ,ATL,65,444,5,45,2018-01-12T05:00:00Z
2018,1,12,701,700,1,1217,922,NA,OH,34,N569NN,SRQ,DCA,NA,851,7,0,2018-01-12T07:00:00Z
2018,1,12,755,800,-5,1134,939,NA,DL,10,N916DN,SRQ,ATL,NA,444,8,0,2018-01-12T08:00:00Z
2018,1,12,822,825,-3,1011,1025,-14,OH,29,N551NN,SRQ,CLT,81,547,8,25,2018-01-12T08:00:00Z
2018,1,12,1024,1020,4,1224,1214,10,OH,28,N564NN,SRQ,CLT,84,547,10,20,2018-01-12T10:00:00Z
2018,1,12,1120,1115,5,1253,1254,-1,DL,20,N951DL,SRQ,ATL,78,444,11,15,2018-01-12T11:00:00Z
2018,1,12,1311,1237,34,1501,1420,41,DL,14,N924DL,SRQ,ATL,72,444,12,37,2018-01-12T12:00:00Z
2018,1,12,1338,1148,110,1621,1429,112,B6,1,N579JB,SRQ,JFK,140,1041,11,48,2018-01-12T11:00:00Z
2018,1,12,1349,1135,134,1629,1431,118,YX,26,N722YX,SRQ,EWR,137,1034,11,35,2018-01-12T11:00:00Z
2018,1,12,1408,1345,23,1603,1535,28,OH,31,N566NN,SRQ,CLT,80,547,13,45,2018-01-12T13:00:00Z
2018,1,12,1451,1445,6,1801,1747,14,B6,5,N646JB,SRQ,BOS,153,1220,14,45,2018-01-12T14:00:00Z
2018,1,12,1540,1419,81,1813,1715,58,DL,9,N958AT,SRQ,LGA,123,1047,14,19,2018-01-12T14:00:00Z
2018,1,12,1648,1559,49,1832,1741,51,DL,22,N920DN,SRQ,ATL,72,444,15,59,2018-01-12T15:00:00Z
2018,1,12,1942,1930,12,2126,2121,5,OH,30,N558NN,SRQ,CLT,85,547,19,30,2018-01-12T19:00:00Z
2018,1,12,1945,1845,60,2120,2029,51,DL,8,N944DL,SRQ,ATL,75,444,18,45,2018-01-12T18:00:00Z
2018,1,13,554,600,-6,721,735,-14,DL,11,N920DN,SRQ,ATL,70,444,6,0,2018-01-13T06:00:00Z
2018,1,13,813,825,-12,955,1025,-30,OH,29,N578NN,SRQ,CLT,71,547,8,25,2018-01-13T08:00:00Z
2018,1,13,819,800,19,957,938,19,DL,10,N961DN,SRQ,ATL,71,444,8,0,2018-01-13T08:00:00Z
2018,1,13,833,842,-9,1032,1100,-28,OH,34,N588NN,SRQ,DCA,105,851,8,42,2018-01-13T08:00:00Z
2018,1,13,1014,1020,-6,1217,1214,3,OH,28,N580NN,SRQ,CLT,78,547,10,20,2018-01-13T10:00:00Z
2018,1,13,1109,1115,-6,1251,1254,-3,DL,20,N980DL,SRQ,ATL,69,444,11,15,2018-01-13T11:00:00Z
2018,1,13,1132,1135,-3,1326,1355,-29,OH,33,N517AE,SRQ,DCA,101,851,11,35,2018-01-13T11:00:00Z
2018,1,13,1133,1135,-2,1355,1431,-36,YX,26,N731YX,SRQ,EWR,121,1034,11,35,2018-01-13T11:00:00Z
2018,1,13,1153,1148,5,1406,1429,-23,B6,1,N591JB,SRQ,JFK,121,1041,11,48,2018-01-13T11:00:00Z
2018,1,13,1155,1200,-5,1417,1453,-36,DL,2,N910AT,SRQ,DTW,122,1022,12,0,2018-01-13T12:00:00Z
2018,1,13,1411,1345,26,1543,1535,8,OH,31,N571NN,SRQ,CLT,71,547,13,45,2018-01-13T13:00:00Z
2018,1,13,1440,1445,-5,1716,1747,-31,B6,5,N279JB,SRQ,BOS,138,1220,14,45,2018-01-13T14:00:00Z
2018,1,13,1458,1503,-5,1707,1757,-50,DL,3,N603AT,SRQ,LGA,116,1047,15,3,2018-01-13T15:00:00Z
2018,1,13,1557,1559,-2,1725,1740,-15,DL,22,N935DN,SRQ,ATL,67,444,15,59,2018-01-13T15:00:00Z
2018,1,13,1921,1930,-9,2105,2121,-16,OH,30,N595NN,SRQ,CLT,71,547,19,30,2018-01-13T19:00:00Z
2018,1,13,NA,1225,NA,NA,1513,NA,9E,24,N301PQ,SRQ,JFK,NA,1041,12,25,2018-01-13T12:00:00Z
